NOMBRE_DEL_SOLISTA_DE_LA_BANDA;GENERO;ESTILO;FECHA_INSCRIPCION;LINK_FACEBOOK;LINK_TWITTER;OTRAS_REDES;DISCOS;LINK_VIDEOCLIP;VIDEO_EN_VIVO;BARRIO;CANTIDAD_DE_INTEGRANTES
VER K BITCH;INSTRUMENTAL ;;20/01/18;;;HTTPS://WWW.YOUTUBE.COM/USER/FERSTAR17INT;DIOS AGUJERO NEGRO (2008) , APICHONADOS (2007) , MERIDIANO (2006) , CAUSALIDADES (2005) , PLANETA ESMERALDA (2001);;HTTPS://YOUTU.BE/-RPWP_ZRTJS , HTTPS://YOUTU.BE/G2MLUQCNWDS;VERSALLES;1
TROTAMUNDOS;INDIE ;;30/11/17;;;HTTPS://WWW.INSTAGRAM.COM/TROTAMUNDOSMUSICA/;HECHO BOLITA (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=FHB5ZENXG8C&LIST=PLD9DAAESBRD6ZH4M8IZX46ENPSTZUCXZS;;VILLA LURO;4
EFECTO ALFONS;ROCK ;POWER TRIO;27/11/17;;;INSTAGRAM, WWW.EFECTOALFONS.COM;EFECTO ALFONS (2000);HTTPS://YOUTU.BE/FVYM6SU2M-C , HTTPS://YOUTU.BE/PRQQZOGFHCQ;HTTPS://YOUTU.BE/STYCFFC5VIY;BARRACAS;3
MARCELO GIULLITTI;SOLISTA ;;26/11/17;;HTTPS://TWITTER.COM/CHELOGIULLITTI;WWW.INSTAGRAM.COM/MARCELOGIULLITTI;;;HTTPS://YOUTU.BE/ZJVJFSCDHEQ;AGRONOMIA;1
AFTERLIFE;ROCK ;ROCK ALTERNATIVO;14/11/17;HTTPS://FACEBOOK.COM/AFTERLIFEARG;HTTPS://TWITTER.COM/AFTERLIFEARG;HTTPS://WWW.INSTAGRAM.COM/AFTERLIFEARG/ , HTTPS://WWW.YOUTUBE.COM/AFTERLIFEARG , HTTP://WWW.AFTERLIFE.COM.AR/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FJ7SJJND1XC;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GP7PJM7O8O0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MRKMOD5LDTK;BALVANERA;5
VIRGINIA FERREYRA;ROCK ;ROCK POP;14/11/17;;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCEKN2GVWOUIWEUV3KESOXQW;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WXN2TKOCZBA;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WAYUFMJDKN0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=28NSAHMOGD8;VILLA DEL PARQUE;1
LMV;POP;;10/11/17;HTTPS://FACEBOOK.COM/LMV;HTTPS://TWITTER.COM/SUENALMV;WWW.INSTAGRAM.COM/SUENALMV , WWW.SUENALMV.COM;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=EEEU0GP7ZPE;LA LUCILA;5
EFECTO ALFONS;ROCK ;POWER TRIO;06/11/17;HTTPS://FACEBOOK.COM/EFECTOALFONSOK;;INSTAGRAM , WWW.EFECTOALFONS.COM;EFECTO ALFONS (1995);HTTPS://WWW.YOUTUBE.COM/WATCH?V=FVYM6SU2M-C;HTTPS://WWW.YOUTUBE.COM/WATCH?V=UEHH1D9_FYI;BARRACAS;3
TANTAS PREGUNTAS;PUNK ;PUNK ROCK;27/10/17;;;HTTPS://ESLA.FACEBOOK.COM/TANTAS.PUNKROCK/;DESPUES DE TODO (2006) , LIBRE ALBEDRIO (2006);HTTPS://YOUTU.BE/TYX3FQMAOUW , HTTPS://YOUTU.BE/LPXFC3CEUFI;HTTPS://YOUTU.BE/1LOMOGGS0VU , HTTPS://YOUTU.BE/EVJCETX-OAC;MORENO;3
TAL VEZ DE PASO;POP ;POP ROCK;26/10/17;;HTTPS://TWITTER.COM/TALVEZDEPASO10;HTTP://INSTAGRAM.COM/TALVEZDEPASO;;HTTPS://YOUTU.BE/HL6BELDXRVK , HTTPS://YOUTU.BE/6JKCSE4YBQM;HTTPS://YOUTU.BE/JRNJTSZAL2S;PUERTO MADERO;4
LA SURTIDA FOLCK;FOLKLORE ;;25/10/17;;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCQDJNKCVEF8EO2JPKT9OS_Q;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GYDL3BZZF5O;BERAZATEGUI;7
JAYDEE M;HIP HOP / RAP ;;24/10/17;HTTPS://FACEBOOK.COM/MCJAYDEEM;HTTPS://TWITTER.COM/MCJAYDEEM;HTTPS://WWW.YOUTUBE.COM/C/MCJAYDEEM ,HTTPS://WWW.INSTAGRAM.COM/MCJAYDEEM , HTTP://MCJAYDEEM.WIX.COM/JAYDEEM;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=TPSSB0XYMHM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=O3DLYQYTHYY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WWRK69SUOIS&FEATURE=YOUTU.BE , HTTPS://WWW.YOUTUBE.COM/WATCH?V=RWYZO1JSDIU;BARRACAS;1
BUGIO;POP;;17/10/17;HTTPS://FACEBOOK.COM/PABLIN.BUGIO;;HTTPS://WWW.YOUTUBE.COM/USER/NOSPEBALANIS?FEATURE=AUTONAV,HTTPS://WWW.FACEBOOK.COM/BUGIOMUSIC;EL TOUR DEL AMOR (2010);HTTPS://WWW.YOUTUBE.COM/WATCH?V=53BV0CXYHOS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=DASFB4QQU4S;;ALMAGRO;5
INDIOS DE LA NOCHE;TROPICAL / LATINO ;CUMBIA;14/10/17;;;HTTPS://WWW.INSTAGRAM.COM/INDIOSDELANOCHE/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=9A7J9A1NQ1Q , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MJ6_OEZFWAG;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WUKCXRDYYFW , HTTPS://WWW.YOUTUBE.COM/WATCH?V=QPPOF_G6E5M;BOULOGNE;7
SILVANA DI MATTEO;POP ;POP CANCION;11/10/17;;;WWW.INSTAGRAM.COM/DIMATTEOSIL ,WWW.YOUTUBE.COM/CONLASALASDELALMA;SI CON UNA CANCION (1991);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FVF-ZM1_ADS;LA PLATA;4
ALO;ROCK ;ROCK ALTERNATIVO;10/10/17;;HTTPS://TWITTER.COM/ANIBALALO;HTTPS://WWW.REVERBNATION.COM/ANIBALALO;;;HTTPS://YOUTU.BE/T4NMTYVRW2C;EL PALOMAR;4
LOS SINTETICOS;ROCK ;ROCK POP;10/10/17;;;;;;;PARQUE CHAS;3
HIGOS DE BUDA;ROCK ;HARD ROCK;09/10/17;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FFVWEJWDPXK;HTTPS://WWW.YOUTUBE.COM/WATCH?V=RT8PXQUO1Q0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=73NT9DDOX8I;VERSALLES;3
TRONGE;INDIE ;;07/10/17;HTTPS://FACEBOOK.COM/TRONGE;;HTTPS://WWW.INSTAGRAM.COM/TRONGEBAND/ , HTTPS://WWW.INSTAGRAM.COM/JPTRONGE/ , HTTPS://WWW.FACEBOOK.COM/TRONGE/;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=AKSCES9ELSM;NUÑEZ;2
SMILODON;ROCK ;GRUNGE;06/10/17;HTTPS://FACEBOOK.COM/SMILODONBANDA;;HTTPS://SOUNDCLOUD.COM/SMILODONGRUNGE , HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCNU68WQR9MV6FULHQXLVTKQ;OCULAR (1990);HTTPS://WWW.YOUTUBE.COM/WATCH?V=G14_2RJ25WM;HTTPS://WWW.YOUTUBE.COM/WATCH?V=LLNWS_RCWZ0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=QZWPMKCBSR4;AGRONOMIA;4
JUAN PABLO GROSSI;MELODICO ;;02/10/17;;HTTPS://TWITTER.COM/JPTROVA;HTTPS://WWW.INSTAGRAM.COM/JPGROSSI/ , YOUTUBE , WWW.JUANPABLOGROSSI.COM;TIEMPO PARA SER (1999);HTTPS://WWW.YOUTUBE.COM/WATCH?V=7-N5FK7YM0A;HTTPS://WWW.YOUTUBE.COM/WATCH?V=G-PHYHFYCAC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=LUWAQ3F6WOQ;VILLA ORTUZAR;4
PULSO DE VIDA;METAL / HEAVY ;NU-METAL;28/09/17;;HTTPS://TWITTER.COM/PULSODEVIDAOK;HTTPS://WWW.INSTAGRAM.COM/PDVPULSODEVIDA/ , HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCIZ4Q7CPRBLUZXII6V5Z4IQ;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=J9KWS0QVTV4 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=QS4LXFALOIO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=6D33EWILRJC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=5DN-KBY1VBW;BELGRANO;3
BUENAS NOCHES;BLUES;;27/09/17;;;HTTP://BUENASNOCHESMUSICA.WEEBLY.COM/;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=4C9LCD_ASRG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=7GOHTTR4KYA;VILLA SOLDATI;7
MYSTRA;ROCK ;;26/09/17;HTTPS://FACEBOOK.COM/MYSTRABANDA;;HTTPS://WWW.INSTAGRAM.COM/MYSTRABANDA/ , HTTPS://SOUNDCLOUD.COM/USER890526737;;;;CONSTITUCION;1
CHORUS;POP ;POP ROCK;25/09/17;;;HTTPS://WWW.INSTAGRAM.COM/CHORUSMUSICA/ , HTTPS://ITUNES.APPLE.COM/US/ALBUM/DAMEM%C3%BASICAEP/ID1199494050 , WWW.CHORUSMUSICA.COM.AR;DAME MUSICA (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=MVJ8DTOGB7A;HTTPS://WWW.YOUTUBE.COM/WATCH?V=CLNK1GCN6JK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UGQE8ZVX-5S;NUÑEZ;3
SISTER;INDIE ;;24/09/17;HTTPS://FACEBOOK.COM/SISTERARG;HTTPS://TWITTER.COM/SISTERARG;WWW.INSTAGRAM.COM/SISTERARG , WWW.YOUTUBE.COM/SISTERARG , HTTP://SISTERARG.BANDCAMP.COM/;BIENVENIDA LA NOCHE (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=NHYHI3FPERW , HTTPS://WWW.YOUTUBE.COM/WATCH?V=YXEOS0KEDRE;;PARQUE CHAS;4
CORAZONES EN ANTARTIDA;INDIE ;;21/09/17;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=MMEFD-U0LK4;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZDJPL7C0RMC;EL PALOMAR;3
ERIK BERNARDI;JAZZ ;;20/09/17;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=YC-CFGYN09Q&FEATURE=YOUTU.BE;NUÑEZ;1
ALBA;ROCK ;ROCK POP;18/09/17;HTTPS://FACEBOOK.COM/ALBAMUSICAMG;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=2JHZLX3ZZDM&LIST=PLK_EMPWZ0NBMUSVTSVXSPO3FWZUKPKII;ALBA ROCK (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=POHHL75PMNY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=DCJTSCQLWJA;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JVSBSETAX3W;MONTE GRANDE;6
FEDERICO Y LOS PAJAROS;ROCK ;ROCK POP;18/09/17;;;FEDERICOYLOSPAJAROS/INSTAGRAM;SUBLIMAR (2000);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=KNGQO7L-VIO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=FCGUB05OA8M;SAN CRISTOBAL;7
DON CAPRICHO Y LOS FULANOS;ROCK ;;16/09/17;;;;;;HTTPS://YOUTU.BE/MJWINJGJJ2A;GBA;1
INTERPRETE DES/CONOCIDO;ROCK ;ROCK POP;14/09/17;;;HTTPS://WWW.INSTAGRAM.COM/INTERPRETE.DESCONOCIDO/ , HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCJIAYVOJYDRCSGKRYUKKQTQ , WWW.INTERPRETEWEB.COM.AR;CATARSIS (2014);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=VP_CSVOPAN8;BELGRANO;6
NAHUEL PIRIZ;FOLKLORE ;LATINOAMERICANO;13/09/17;;HTTPS://TWITTER.COM/NAHUELPIRIZ;INSTAGRAM.COM/NAHUELPIRIZNP;GOTITA DE AMOR (2012) , CON EL FOLKLORE EN LA SANGRE (2010);HTTPS://WWW.YOUTUBE.COM/WATCH?V=DUTM9XM_KAM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZFB63E0QN6O;HTTPS://WWW.YOUTUBE.COM/WATCH?V=B5JTWLIDSUY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=AJ113HLMFSS;MONTE GRANDE;2
MARTIN CARRILLO;ROCK ;ROCK POP;12/09/17;HTTPS://FACEBOOK.COM/MARTINCARRILLOMUSICO;HTTPS://TWITTER.COM/MCARRILLOMUSICO;WWW.MARTINCARRILLOMUSICO.COM;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=NMKSMJUMR_C;HTTPS://WWW.YOUTUBE.COM/WATCH?V=XAK_U2GFW34 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=LOEOMHMMXLY;ALMAGRO;3
LIVITY SONGS;SKA / REGGAE ;;10/09/17;;HTTPS://TWITTER.COM/LIVITYSONGS;LIVITYSONGSOK , LIVITYSONGSOK;HOY (2014) , LIVITYSONGS (2010);HTTPS://WWW.YOUTUBE.COM/WATCH?V=TAPBGE5Q23M , HTTPS://WWW.YOUTUBE.COM/WATCH?V=TAPBGE5Q23M;HTTPS://WWW.YOUTUBE.COM/WATCH?V=HFIOAUHHRS8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=WFMUMWQ5BVA;CABA / GBA;9
SIXXX;ROCK ;POWER TRIO;08/09/17;;;HTTPS://WWW.INSTAGRAM.COM/S.I.X.X.X.ROCK/;SIXXX (1999);HTTPS://WWW.YOUTUBE.COM/WATCH?V=UIKT4B1RTBW , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ILMKMYWMV2W;HTTPS://WWW.YOUTUBE.COM/WATCH?V=LDFVNHR4LVU;RAMOS MEJIA;3
FEDEM;ROCK ;ROCK POP;05/09/17;HTTPS://FACEBOOK.COM/FEDEMROCK;HTTPS://TWITTER.COM/FEDEMROCK;HTTPS://WWW.INSTAGRAM.COM/FEDEMROCK , HTTP://SONICA.SPEEDY.COM.AR/FEDEMUSICGUITAR;33 (2000);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DKFC9LMG9JS&T=9S;VILLA SOLDATI;3
LUZ PEDROSA;FOLKLORE ;LATINOAMERICANO;29/08/17;;;WWW.FACEBOOK.COM/LUZPEDROSACANTANTE;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=TZ-2MNHXTC0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UUUMADM_S5C;PARQUE CHAS;1
GRAVESS;METAL / HEAVY ;NU-METAL;28/08/17;;;HTTP://GRAVESS.BANDCAMP.COM/;SSEVARG (2013);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=8UJO80HUEWK;LINIERS;3
VALE ACEVEDO;POP ;POP ROCK;28/08/17;;HTTPS://TWITTER.COM/VALEACEVEDOO;HTTPS://WWW.INSTAGRAM.COM/VALEACEVEDOOO/ , WWW.VALEACEVEDO.COM;CANCIONES DE MINITA (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=OV14D3BW_MU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=QHC0KAIAXKI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=TQJ15OWNNII , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZP1YSUUS6X8;NUÑEZ;5
EL TECHO DE LA BALLENA;ROCK ;ROCK ALTERNATIVO;28/08/17;;;;EL TECHO DE LA BALLENA (2008);HTTPS://YOUTU.BE/ZDNAGUDOYD0;;BARRACAS;4
POBRE BOB;ROCK ;ROCK ALTERNATIVO;28/08/17;;;WWW.INSTAGRAM.COM/POBREBOB , WWW.FACEBOOK.COM/POBREBOB;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ROWA2FDTIIK;HTTPS://WWW.YOUTUBE.COM/WATCH?V=-BZBFUULBVE , HTTPS://WWW.YOUTUBE.COM/WATCH?V=4MKVZITCQM0;MORENO;5
INQUIRIA;ROCK ;;28/08/17;;HTTPS://TWITTER.COM/INQUIRIAOFICIAL;INSTAGRAM: @INQUIRIA , HTTPS://WWW.FACEBOOK.COM/INQUIRIAROCK;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=XJHVRWI7C2A , HTTPS://WWW.YOUTUBE.COM/WATCH?V=BLQLNUSI4MI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=BQBQT1L2KL8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=-S7PQXAMUMO;PARQUE CHAS;5
NATTY DREAD;SKA / REGGAE;;27/08/17;;HTTPS://TWITTER.COM/NATTYDREADMUSIC;HTTPS://WWW.INSTAGRAM.COM/NATTYDREADMUSIC/ , HTTPS://WWW.FACEBOOK.COM/NATTYDREAD238159722388/;PERSEVERANCIA (2014) , UNA ILUSION (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=J5AOKLKP1MI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=JEA6PLZJQ6A;HTTPS://WWW.YOUTUBE.COM/WATCH?V=RV7IYRWV2IO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=J5AOKLKP1MI;GONZALEZ CATAN;8
ORSON;PUNK ;;26/08/17;;HTTPS://TWITTER.COM/ORSONOFFICIAL;INSTAGRAM.COM/ORSONOFFICIAL/;ORSON (2006);;;SAN MARTIN;1
CHE MUTANTE;SKA / REGGAE ;;26/08/17;;;HTTPS://WWW.INSTAGRAM.COM/CHEMUTANTEOFICIAL/ , HTTPS://WWW.FACEBOOK.COM/CHEMUTANTE/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=CMHPOREKJXA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=VUGMHAU0K3U;;CONSTITUCION;5
EL PARAISO DE EVA;POP ;POP ROCK;25/08/17;;HTTPS://TWITTER.COM/EPDEVA;;AMAR EN CRISIS -EP- (1999);;;NUÑEZ;6
JODA;POP ;POP ROCK;25/08/17;;;;;;HTTPS://YOUTU.BE/9H-MI3IQJL8;BOEDO;3
VUDAMA;POP ;POP ROCK;25/08/17;HTTPS://FACEBOOK.COM/VUDAMA;HTTPS://TWITTER.COM/VUDAMA;INSTAGRAM.COM/VUDAMA;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=EA2KG-EPDUU;HTTPS://WWW.YOUTUBE.COM/WATCH?V=KEAUYKVEHA0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=AF3QTB50QSM;NUÑEZ;4
LA GRACIA;POP ;;25/08/17;HTTPS://FACEBOOK.COM/LAGRACIAMUSICA;;INSTAGRAM: @LAGRACIAMUSICA , HTTPS://SOUNDCLOUD.COM/LAGRACIAMUSICA , HTTPS://LAGRACIA.BANDCAMP.COM/;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=6IBXAN9EFAE;VERSALLES;3
TRENESI;ROCK ;POWER TRIO;25/08/17;;;HTTPS://TRENESI.BANDCAMP.COM/RELEASES , HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCPRPWINKIVBU_FAFDIVG5W;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GQSLBDIAHVK;HTTPS://WWW.YOUTUBE.COM/WATCH?V=E0AWFV8EQXK;NUÑEZ;3
ÑOQUI;ROCK ;ROCK ALTERNATIVO;25/08/17;;HTTPS://TWITTER.COM/NOQUI29;HTTPS://WWW.INSTAGRAM.COM/NOQUIROCK/ , HTTPS://WWW.YOUTUBE.COM/CHANNEL/UC0JM215AILUWO2UUMC6FYNQ , HTTPS://WWW.FACEBOOK.COM/NOQUI29/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=MKTVESIPC7O;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZJAJTX0ICXA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=-8SMMIZVR_S;NUÑEZ;4
PRIMAVERA SOUND;ROCK ;ROCK ALTERNATIVO;25/08/17;HTTPS://FACEBOOK.COM/PRIMAVERASOUNDBAND;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=V2SR3Z-IWTM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=XRMFGVZROLK;NUEVA POMPEYA;3
CHECHECHE;ROCK ;ROCK POP;25/08/17;HTTPS://FACEBOOK.COM/CHECHECHEMUSICA;HTTPS://TWITTER.COM/CHECHECHEMUSICA;CHECHECHE.BANDCAMP.COM , CHECHECHE.BANDCAMP.COM , HTTP://CHECHECHE.COM.AR/;GRANDES EXITOS (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=SU9IKWDYIBG;HTTPS://WWW.YOUTUBE.COM/WATCH?V=N6IKZC9QNDM;VILLA SOLDATI;5
ZELEN;ROCK ;ROCK POP;25/08/17;;HTTPS://TWITTER.COM/ZELENOFICIAL;HTTPS://WWW.INSTAGRAM.COM/ZELENOFICIAL/ , HTTPS://PLAY.SPOTIFY.COM/ARTIST/2XIGVABCOIYDIJG8DVEVNB , WWW.ZELEN.COM.AR;NUEVOS AIRES (2014) , VERDADES A MEDIAS (2010) , NOCHES SIN DORMIR (2007);HTTPS://WWW.YOUTUBE.COM/WATCH?V=CSX0YAK5QD0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=GELTQCBUD20;HTTPS://WWW.YOUTUBE.COM/WATCH?V=KHOMLDHTXC4 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=GYV_G2Z_Z0G;BELGRANO;6
MODERE ROCK;ROCK ;;25/08/17;;;HTTPS://OPEN.SPOTIFY.COM/ARTIST/7C70CNULBPNQJ82ZEZ4ZGQ;MODERE ROCK (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=2WFN3XW9UQM;HTTPS://WWW.YOUTUBE.COM/WATCH?V=C7OK98G3JNW;CONSTITUCION;4
NO COMPRO MAS;SKA / REGGAE ;;25/08/17;HTTPS://FACEBOOK.COM/NOCOMPROMAS;HTTPS://TWITTER.COM/NOCOMPROMAS;HTTPS://WWW.INSTAGRAM.COM/NOCOMPROMAS/?HL=ES , WWW.NOCOMPROMAS.COM.AR;NO COMPRO MAS (2012);HTTPS://WWW.YOUTUBE.COM/WATCH?V=-Y-TOSI087C;;BOEDO;5
NO PARES;SKA / REGGAE ;;25/08/17;;;;NUNCA (2012);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=7TS5HWXQROK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=1ZA7SM3WI54;CHACARITA;10
LEO GRECO BAND;MELODICO ;;24/08/17;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=29XTNG35LYI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=RR8ADIUEWDY;;CABALLITO;6
MAGICO QUIMICO;NEW AGE ;;23/08/17;;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCF7MHQCP2BSVFALRX3OHJJG , HTTPS://SOUNDCLOUD.COM/MAGICOQUIMICO;CENIZAS (2000);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=VR8WNDSIMT8;ROSARIO, SANTA FE;4
PRIMA GUARDIA;ROCK ;ROCK ALTERNATIVO;23/08/17;HTTPS://FACEBOOK.COM/PRIMAGUARDIAOK;;INSTAGRAM.COM/PRIMAGUARDIAOFICIAL;;HTTPS://YOUTU.BE/_OHDCWKQUHM;HTTPS://YOUTU.BE/HXXOFU8NYAM;VILLA SOLDATI;5
PATADA;ROCK ;;22/08/17;;;HTTPS://WWW.FACEBOOK.COM/PG/PATADAMUSICA/ABOUT/?REF=PAGE_INTERNAL;PATADA (2013);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=O7OM510NHBI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=O7OM510NHBI;PUERTO MADERO;4
BOOLEANS;ROCK ;ROCK ALTERNATIVO;13/08/17;;;;Y AHORA QUE NO ESTAS ACA (1999);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WHTQ_XQ1ISS;CABALLITO;1
CHINO MANSUTTI;ROCK ;ROCK POP;09/08/17;;;HTTPS://OPEN.SPOTIFY.COM/ARTIST/3KYFNAPULWAIV5EQ4JHZSH , HTTP://WWW.CHINOMANSUTTI.COM/;LO QUE QUEDA DE LA CASA (2014) , FRENESI (2013) , LLEVA (2011);HTTPS://WWW.YOUTUBE.COM/WATCH?V=BUD_OZC9COQ , HTTPS://WWW.YOUTUBE.COM/WATCH?V=OZWG-PNTHMY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=RDEULTXFSEU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=HY0SFWDPTJU;SANTA FE;5
CHIFY NEGRETTI;SOLISTA ;ROCK POP;07/08/17;;;HTTP://SONICA.SPEEDY.COM.AR/CHIFYNEGRETTI;PENSAMIENTO EN EL AIRE (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=KTKGXTA1KXA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=NS4JTZ2-H9I;HTTPS://WWW.YOUTUBE.COM/WATCH?V=IRGIJLKMFMA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=IBLRKGDYEPM;BARRACAS;1
PASAJERO;ROCK ;ROCK ALTERNATIVO;03/08/17;HTTPS://FACEBOOK.COM/PASAJEROBAND;HTTPS://TWITTER.COM/PASAJEROBAND;HTTPS://SOUNDCLOUD.COM/PASAJEROBAND , HTTPS://WWW.REVERBNATION.COM/PASAJEROBAND;DESPUES DEL AGUA (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=XVINY_BNFRM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=JGWPAPBD-KS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GHWWEUBYOKA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=_IEQBL7NPTQ;SAN MIGUEL;4
EL GUERRERO;HIP HOP / RAP ;;02/08/17;;HTTPS://TWITTER.COM/ELGUERREROARG;;TUMBANDO GIGANTES (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=Z7O_RAODL9U , HTTPS://WWW.YOUTUBE.COM/WATCH?V=PLRJH39B4_S;HTTPS://WWW.YOUTUBE.COM/WATCH?V=F7BMIA5TA3E , HTTPS://WWW.YOUTUBE.COM/WATCH?V=0MFQ0E8UD-0;CABALLITO;1
EL PATIO OSCURO;ROCK ;HARD ROCK;01/08/17;;HTTPS://TWITTER.COM/ELPATIOOSCURO;HTTPS://WWW.INSTAGRAM.COM/EL_PATIO_OSCURO/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=6SUFI_4TSU0;HTTPS://WWW.YOUTUBE.COM/WATCH?V=IZZVMJINGVA;AVELLANEDA;4
